year;from_country_id;to_country_id;from_country;to_country;total_points
2016;pl;az;pl;az;0
2016;pl;rs;pl;rs;0
2016;pl;hu;pl;hu;6
2016;pl;ge;pl;ge;8
2016;pl;cy;pl;cy;1
2016;pl;es;pl;es;5
2016;pl;hr;pl;hr;0
2016;pl;gb;pl;gb;0
2016;pl;cz;pl;cz;4
2016;pl;de;pl;de;0
2016;ru;ua;ru;ua;10
2016;ru;au;ru;au;6
2016;ru;ru;ru;ru;0
2016;ru;bg;ru;bg;0
2016;ru;se;ru;se;2
2016;ru;fr;ru;fr;10
2016;ru;am;ru;am;24
2016;ru;pl;ru;pl;5
2016;ru;lt;ru;lt;0
2016;ru;be;ru;be;0
2016;ru;nl;ru;nl;0
2016;ru;mt;ru;mt;8
2016;ru;at;ru;at;8
2016;ru;il;ru;il;0
2016;ru;lv;ru;lv;4
2016;ru;it;ru;it;0
2016;ru;az;ru;az;16
2016;ru;rs;ru;rs;0
2016;ru;hu;ru;hu;1
2016;ru;ge;ru;ge;5
2016;ru;cy;ru;cy;11
2016;ru;es;ru;es;0
2016;ru;hr;ru;hr;0
2016;ru;gb;ru;gb;6
2016;ru;cz;ru;cz;0
2016;ru;de;ru;de;0
2016;sm;ua;sm;ua;24
2016;sm;au;sm;au;5
2016;sm;ru;sm;ru;17
2016;sm;bg;sm;bg;3
2016;sm;se;sm;se;4
2016;sm;fr;sm;fr;0
2016;sm;am;sm;am;2
2016;sm;pl;sm;pl;7
2016;sm;lt;sm;lt;8
2016;sm;be;sm;be;0
2016;sm;nl;sm;nl;4
2016;sm;mt;sm;mt;3
2016;sm;at;sm;at;1
